,wl,n,k
213,6.942e-07,2.2156,3.2901
214,6.975600000000001e-07,2.2248,3.297
215,7.0094e-07,2.2339,3.3039
216,7.043399999999999e-07,2.2431,3.3108
217,7.077499999999999e-07,2.2523,3.3178
218,7.1118e-07,2.2615,3.3248
219,7.1463e-07,2.2708,3.3317
220,7.1809e-07,2.2801,3.3387
221,7.215699999999999e-07,2.2895,3.3457
222,7.2506e-07,2.2988,3.3528
223,7.2858e-07,2.3082,3.3598
224,7.3211e-07,2.3177,3.3668
225,7.3565e-07,2.3271,3.3738
226,7.3922e-07,2.3366,3.3809
227,7.428e-07,2.3461,3.3879
228,7.464e-07,2.3557,3.395
229,7.500100000000001e-07,2.3653,3.402
230,7.5365e-07,2.3749,3.4091
231,7.572999999999999e-07,2.3846,3.4161
232,7.6097e-07,2.3942,3.4231
233,7.646500000000001e-07,2.4039,3.4302
234,7.6836e-07,2.4137,3.4372
235,7.7208e-07,2.4234,3.4443
236,7.7582e-07,2.4332,3.4513
237,7.7958e-07,2.443,3.4583
238,7.8336e-07,2.4528,3.4654
239,7.8715e-07,2.4627,3.4724
240,7.909699999999999e-07,2.4726,3.4794
241,7.947999999999999e-07,2.4825,3.4864
242,7.9865e-07,2.4924,3.4934
243,8.0252e-07,2.5024,3.5004
244,8.064100000000001e-07,2.5123,3.5074
245,8.103100000000001e-07,2.5223,3.5143
246,8.142399999999999e-07,2.5323,3.5213
247,8.181899999999999e-07,2.5424,3.5282
248,8.2215e-07,2.5524,3.5352
249,8.261299999999999e-07,2.5625,3.5421
250,8.301299999999999e-07,2.5726,3.549
251,8.341599999999999e-07,2.5827,3.5559
252,8.381999999999999e-07,2.5928,3.5628
253,8.422599999999999e-07,2.6029,3.5697
254,8.4634e-07,2.6131,3.5766
255,8.5044e-07,2.6232,3.5835
256,8.5456e-07,2.6334,3.5903
257,8.587e-07,2.6436,3.5972
258,8.6286e-07,2.6538,3.604
259,8.670399999999999e-07,2.664,3.6108
260,8.7124e-07,2.6742,3.6176
261,8.7546e-07,2.6844,3.6244
262,8.797e-07,2.6946,3.6312
263,8.839699999999999e-07,2.7049,3.6379
264,8.882499999999999e-07,2.7151,3.6447
265,8.925499999999999e-07,2.7254,3.6514
266,8.968799999999998e-07,2.7357,3.6581
267,9.0122e-07,2.7459,3.6649
268,9.0559e-07,2.7562,3.6716
269,9.099799999999998e-07,2.7665,3.6782
270,9.1438e-07,2.7767,3.6849
271,9.1881e-07,2.787,3.6916
272,9.2327e-07,2.7973,3.6982
273,9.2774e-07,2.8076,3.7049
274,9.322299999999998e-07,2.8179,3.7115
275,9.3675e-07,2.8282,3.7181
276,9.412899999999999e-07,2.8384,3.7248
277,9.458499999999999e-07,2.8487,3.7314
278,9.504299999999998e-07,2.859,3.7379
279,9.5504e-07,2.8693,3.7445
280,9.5966e-07,2.8796,3.7511
281,9.643099999999999e-07,2.8898,3.7577
282,9.689799999999998e-07,2.9001,3.7642
283,9.736799999999998e-07,2.9104,3.7708
284,9.784e-07,2.9206,3.7773
285,9.8314e-07,2.9309,3.7838
286,9.878999999999999e-07,2.9411,3.7903
287,9.9269e-07,2.9514,3.7968
288,9.975e-07,2.9616,3.8033
289,1.0023e-06,2.9718,3.8098
290,1.0072e-06,2.982,3.8163
291,1.0121e-06,2.9922,3.8228
292,1.017e-06,3.0025,3.8293
293,1.0219e-06,3.0126,3.8357
294,1.0267999999999999e-06,3.0228,3.8422
295,1.0318e-06,3.033,3.8487
296,1.0368e-06,3.0432,3.8551
297,1.0418e-06,3.0533,3.8616
298,1.0468999999999999e-06,3.0635,3.868
299,1.052e-06,3.0736,3.8745
300,1.0570999999999998e-06,3.0837,3.8809
301,1.0622e-06,3.0938,3.8874
302,1.0673e-06,3.1039,3.8938
303,1.0725e-06,3.114,3.9002
304,1.0777e-06,3.124,3.9067
305,1.0828999999999998e-06,3.1341,3.9131
306,1.0882e-06,3.1441,3.9195
307,1.0934e-06,3.1541,3.926
308,1.0987e-06,3.1642,3.9324
309,1.1041e-06,3.1741,3.9388
310,1.1094e-06,3.1841,3.9453
311,1.1148e-06,3.1941,3.9517
312,1.1202e-06,3.204,3.9581
313,1.1255999999999999e-06,3.214,3.9646
314,1.1310999999999999e-06,3.2239,3.971
315,1.1365e-06,3.2338,3.9775
316,1.1419999999999998e-06,3.2436,3.9839
317,1.1475999999999998e-06,3.2535,3.9904
318,1.1531e-06,3.2633,3.9968
319,1.1587e-06,3.2732,4.0033
320,1.1642999999999998e-06,3.283,4.0098
321,1.1699999999999998e-06,3.2928,4.0162
322,1.1756e-06,3.3025,4.0227
323,1.1813e-06,3.3123,4.0292
324,1.1871e-06,3.322,4.0357
325,1.1928e-06,3.3317,4.0422
326,1.1986e-06,3.3414,4.0487
327,1.2043999999999999e-06,3.3511,4.0553
328,1.2101999999999999e-06,3.3608,4.0618
329,1.2160999999999999e-06,3.3704,4.0683
330,1.222e-06,3.38,4.0749
331,1.2279e-06,3.3896,4.0814
332,1.2339e-06,3.3992,4.088
333,1.2398e-06,3.4087,4.0946
334,1.2458e-06,3.4183,4.1012
335,1.2519e-06,3.4278,4.1078
336,1.2579e-06,3.4373,4.1144
337,1.2639999999999999e-06,3.4467,4.121
338,1.2702e-06,3.4562,4.1277
339,1.2763e-06,3.4656,4.1343
340,1.2825e-06,3.475,4.141
341,1.2886999999999998e-06,3.4844,4.1477
342,1.2949999999999999e-06,3.4937,4.1544
343,1.3012e-06,3.5031,4.1611
344,1.3075e-06,3.5124,4.1678
345,1.3139e-06,3.5217,4.1746
346,1.3202e-06,3.5309,4.1813
347,1.3266e-06,3.5402,4.1881
348,1.3331e-06,3.5494,4.1949
349,1.3394999999999998e-06,3.5586,4.2017
350,1.3460000000000001e-06,3.5678,4.2085
351,1.3525e-06,3.5769,4.2154
352,1.3590999999999998e-06,3.5861,4.2222
353,1.3657e-06,3.5952,4.2291
354,1.3723e-06,3.6042,4.236
355,1.3789e-06,3.6133,4.2429
356,1.3856e-06,3.6223,4.2499
357,1.3923e-06,3.6313,4.2569
358,1.3990999999999999e-06,3.6403,4.2638
359,1.4059e-06,3.6492,4.2708
360,1.4127e-06,3.6582,4.2779
361,1.4195e-06,3.6671,4.2849
362,1.4263999999999998e-06,3.676,4.292
363,1.4333e-06,3.6848,4.2991
364,1.4401999999999998e-06,3.6936,4.3062
365,1.4471999999999999e-06,3.7024,4.3133
366,1.4541999999999998e-06,3.7112,4.3205
367,1.4612999999999999e-06,3.72,4.3277
368,1.4683999999999998e-06,3.7287,4.3349
369,1.4754999999999999e-06,3.7374,4.3421
370,1.4825999999999998e-06,3.746,4.3494
371,1.4898e-06,3.7547,4.3567
372,1.497e-06,3.7633,4.364
373,1.5043e-06,3.7719,4.3713
374,1.5116e-06,3.7804,4.3787
375,1.5188999999999998e-06,3.789,4.3861
376,1.5261999999999999e-06,3.7975,4.3935
377,1.5336e-06,3.8059,4.4009
378,1.5411e-06,3.8144,4.4084
379,1.5484999999999999e-06,3.8228,4.4159
380,1.556e-06,3.8312,4.4235
381,1.5636e-06,3.8395,4.431
382,1.5711999999999999e-06,3.8479,4.4386
383,1.5787999999999998e-06,3.8562,4.4462
384,1.5864e-06,3.8644,4.4539
385,1.5941e-06,3.8727,4.4616
386,1.6017999999999999e-06,3.8809,4.4693
387,1.6095999999999998e-06,3.8891,4.477
388,1.6174e-06,3.8972,4.4848
389,1.6252e-06,3.9053,4.4926
390,1.6330999999999999e-06,3.9134,4.5005
391,1.641e-06,3.9215,4.5083
392,1.649e-06,3.9295,4.5162
393,1.6569e-06,3.9375,4.5242
394,1.665e-06,3.9454,4.5322
395,1.673e-06,3.9533,4.5402
396,1.6810999999999999e-06,3.9612,4.5482
397,1.6892999999999999e-06,3.9691,4.5563
398,1.6974999999999998e-06,3.9769,4.5644
399,1.7056999999999998e-06,3.9847,4.5726
