wl,k
1.6785e+00,5.2169e+00
1.6878e+00,5.2393e+00
1.6971e+00,5.2619e+00
1.7065e+00,5.2849e+00
1.7160e+00,5.3081e+00
1.7255e+00,5.3315e+00
1.7351e+00,5.3553e+00
1.7447e+00,5.3794e+00
1.7544e+00,5.4037e+00
1.7641e+00,5.4283e+00
1.7739e+00,5.4532e+00
1.7837e+00,5.4784e+00
1.7936e+00,5.5038e+00
1.8035e+00,5.5295e+00
1.8135e+00,5.5556e+00
1.8236e+00,5.5819e+00
1.8337e+00,5.6085e+00
1.8438e+00,5.6353e+00
1.8540e+00,5.6625e+00
1.8643e+00,5.6900e+00
1.8747e+00,5.7177e+00
1.8850e+00,5.7457e+00
1.8955e+00,5.7740e+00
1.9060e+00,5.8026e+00
1.9166e+00,5.8315e+00
1.9272e+00,5.8607e+00
1.9379e+00,5.8901e+00
1.9486e+00,5.9199e+00
1.9594e+00,5.9499e+00
1.9703e+00,5.9803e+00
1.9812e+00,6.0109e+00
1.9922e+00,6.0418e+00
2.0032e+00,6.0730e+00
2.0143e+00,6.1045e+00
2.0255e+00,6.1363e+00
2.0367e+00,6.1684e+00
2.0480e+00,6.2008e+00
2.0593e+00,6.2335e+00
2.0707e+00,6.2665e+00
2.0822e+00,6.2998e+00
2.0938e+00,6.3333e+00
2.1054e+00,6.3672e+00
2.1170e+00,6.4014e+00
2.1288e+00,6.4358e+00
2.1406e+00,6.4706e+00
2.1524e+00,6.5057e+00
2.1644e+00,6.5410e+00
2.1764e+00,6.5767e+00
2.1884e+00,6.6127e+00
2.2005e+00,6.6489e+00
2.2127e+00,6.6855e+00
2.2250e+00,6.7224e+00
2.2373e+00,6.7596e+00
2.2497e+00,6.7971e+00
2.2622e+00,6.8349e+00
2.2747e+00,6.8730e+00
2.2874e+00,6.9114e+00
2.3000e+00,6.9501e+00
2.3128e+00,6.9892e+00
2.3256e+00,7.0285e+00
2.3385e+00,7.0682e+00
2.3514e+00,7.1082e+00
2.3645e+00,7.1484e+00
2.3776e+00,7.1891e+00
2.3908e+00,7.2300e+00
2.4040e+00,7.2712e+00
2.4173e+00,7.3128e+00
2.4307e+00,7.3546e+00
2.4442e+00,7.3968e+00
2.4577e+00,7.4394e+00
2.4714e+00,7.4822e+00
2.4851e+00,7.5254e+00
2.4988e+00,7.5688e+00
2.5127e+00,7.6126e+00
2.5266e+00,7.6568e+00
2.5406e+00,7.7013e+00
2.5547e+00,7.7460e+00
2.5689e+00,7.7912e+00
2.5831e+00,7.8366e+00
2.5974e+00,7.8824e+00
2.6118e+00,7.9285e+00
2.6263e+00,7.9750e+00
2.6408e+00,8.0218e+00
2.6555e+00,8.0689e+00
2.6702e+00,8.1164e+00
2.6850e+00,8.1642e+00
2.6999e+00,8.2123e+00
2.7148e+00,8.2608e+00
2.7299e+00,8.3097e+00
2.7450e+00,8.3589e+00
2.7602e+00,8.4084e+00
2.7755e+00,8.4583e+00
2.7909e+00,8.5085e+00
2.8064e+00,8.5591e+00
2.8219e+00,8.6100e+00
2.8376e+00,8.6613e+00
2.8533e+00,8.7129e+00
2.8691e+00,8.7649e+00
2.8850e+00,8.8173e+00
2.9010e+00,8.8700e+00
2.9171e+00,8.9230e+00
2.9332e+00,8.9765e+00
2.9495e+00,9.0303e+00
2.9658e+00,9.0844e+00
2.9823e+00,9.1390e+00
2.9988e+00,9.1939e+00
3.0154e+00,9.2491e+00
3.0321e+00,9.3048e+00
3.0490e+00,9.3608e+00
3.0659e+00,9.4172e+00
3.0828e+00,9.4739e+00
3.0999e+00,9.5311e+00
3.1171e+00,9.5886e+00
3.1344e+00,9.6465e+00
3.1518e+00,9.7048e+00
3.1692e+00,9.7634e+00
3.1868e+00,9.8225e+00
3.2045e+00,9.8819e+00
3.2222e+00,9.9418e+00
3.2401e+00,1.0002e+01
3.2580e+00,1.0063e+01
3.2761e+00,1.0124e+01
3.2942e+00,1.0185e+01
3.3125e+00,1.0247e+01
3.3309e+00,1.0309e+01
3.3493e+00,1.0372e+01
3.3679e+00,1.0435e+01
3.3865e+00,1.0498e+01
3.4053e+00,1.0562e+01
3.4242e+00,1.0626e+01
3.4432e+00,1.0691e+01
3.4623e+00,1.0756e+01
3.4814e+00,1.0821e+01
3.5007e+00,1.0887e+01
3.5201e+00,1.0953e+01
3.5396e+00,1.1020e+01
3.5593e+00,1.1087e+01
3.5790e+00,1.1155e+01
3.5988e+00,1.1222e+01
3.6188e+00,1.1291e+01
3.6388e+00,1.1360e+01
3.6590e+00,1.1429e+01
3.6793e+00,1.1499e+01
3.6997e+00,1.1569e+01
3.7202e+00,1.1639e+01
3.7408e+00,1.1710e+01
3.7615e+00,1.1781e+01
3.7824e+00,1.1853e+01
