wl,k
3.1058e+00,6.0979e+00
3.1209e+00,6.1172e+00
3.1360e+00,6.1367e+00
3.1512e+00,6.1564e+00
3.1665e+00,6.1763e+00
3.1818e+00,6.1964e+00
3.1972e+00,6.2166e+00
3.2127e+00,6.2370e+00
3.2283e+00,6.2576e+00
3.2439e+00,6.2785e+00
3.2596e+00,6.2995e+00
3.2754e+00,6.3207e+00
3.2913e+00,6.3420e+00
3.3072e+00,6.3636e+00
3.3233e+00,6.3854e+00
3.3394e+00,6.4074e+00
3.3555e+00,6.4296e+00
3.3718e+00,6.4520e+00
3.3881e+00,6.4747e+00
3.4045e+00,6.4975e+00
3.4210e+00,6.5205e+00
3.4376e+00,6.5438e+00
3.4543e+00,6.5673e+00
3.4710e+00,6.5910e+00
3.4878e+00,6.6149e+00
3.5047e+00,6.6390e+00
3.5217e+00,6.6634e+00
3.5388e+00,6.6880e+00
3.5559e+00,6.7128e+00
3.5731e+00,6.7379e+00
3.5904e+00,6.7632e+00
3.6078e+00,6.7887e+00
3.6253e+00,6.8145e+00
3.6429e+00,6.8404e+00
3.6605e+00,6.8667e+00
3.6783e+00,6.8932e+00
3.6961e+00,6.9199e+00
3.7140e+00,6.9469e+00
3.7320e+00,6.9741e+00
3.7501e+00,7.0015e+00
3.7682e+00,7.0292e+00
3.7865e+00,7.0572e+00
3.8048e+00,7.0854e+00
3.8233e+00,7.1139e+00
3.8418e+00,7.1427e+00
3.8604e+00,7.1717e+00
3.8791e+00,7.2009e+00
3.8979e+00,7.2304e+00
3.9168e+00,7.2602e+00
3.9358e+00,7.2903e+00
3.9548e+00,7.3206e+00
3.9740e+00,7.3512e+00
3.9932e+00,7.3820e+00
4.0126e+00,7.4131e+00
4.0320e+00,7.4445e+00
4.0516e+00,7.4762e+00
4.0712e+00,7.5082e+00
4.0909e+00,7.5404e+00
4.1107e+00,7.5729e+00
4.1307e+00,7.6057e+00
4.1507e+00,7.6387e+00
4.1708e+00,7.6721e+00
4.1910e+00,7.7057e+00
4.2113e+00,7.7396e+00
4.2317e+00,7.7738e+00
4.2522e+00,7.8083e+00
4.2728e+00,7.8431e+00
4.2935e+00,7.8781e+00
4.3143e+00,7.9135e+00
4.3352e+00,7.9491e+00
4.3562e+00,7.9851e+00
4.3773e+00,8.0213e+00
4.3985e+00,8.0578e+00
4.4198e+00,8.0946e+00
4.4412e+00,8.1317e+00
4.4628e+00,8.1691e+00
4.4844e+00,8.2068e+00
4.5061e+00,8.2448e+00
4.5279e+00,8.2831e+00
4.5499e+00,8.3216e+00
4.5719e+00,8.3605e+00
4.5941e+00,8.3997e+00
4.6163e+00,8.4392e+00
4.6387e+00,8.4790e+00
4.6612e+00,8.5190e+00
4.6838e+00,8.5594e+00
4.7064e+00,8.6001e+00
